orgao_julgador,Procedimento do Juizado Especial Cível,Cumprimento de Sentença contra a Fazenda Pública,Execução Fiscal,Recurso Inominado Cível,Cumprimento de sentença,Apelação Cível,Outras classes,Procedimento Comum Cível,Mandado de Segurança Cível,Agravo de Instrumento,Execução de Título Extrajudicial,Apelação / Remessa Necessária,Carta Precatória Cível,Remessa Necessária Cível,Embargos à Execução,Embargos à Execução Fiscal
2º Juizado Especial Federal de Vitória,46958,5331,0,21,3811,0,14,2,2,0,439,0,0,0,48,0
1ª Vara Federal de Serra,24119,1558,0,1,11319,0,513,5269,1686,0,284,0,33,0,81,0
Gabinete da Vice-Presidência,0,0,0,0,0,23159,1158,0,38,7909,0,7702,7,279,0,0
Vara Federal de Macaé,20415,9048,5,2,1487,0,1373,2473,2424,0,1635,0,104,0,244,0
Vara Federal de Colatina,23615,5026,0,15,5217,0,1103,1337,1451,0,676,0,61,0,107,0
1º Juizado Especial Federal de Vitória,22770,15383,0,2,18,0,9,5,3,0,2,0,12,0,0,0
3º Juizado Especial Federal de Vitória,20180,17775,0,1,10,0,1,1,10,0,2,0,14,0,0,0
Vara Federal de Itaperuna,22240,8461,0,0,867,0,1160,1326,2686,0,686,0,143,0,177,1
5ª Vara Federal do Rio de Janeiro,24584,4007,0,4,1693,0,1644,947,760,0,929,0,50,0,183,0
1ª Vara Federal do Rio de Janeiro,22280,372,0,10,7387,0,613,923,762,0,559,0,28,0,108,0
15ª Vara Federal do Rio de Janeiro,20283,780,0,6,8837,0,599,803,828,0,599,0,63,0,157,0
Vara Federal de São Mateus,17160,10823,1,1,615,0,1419,1263,868,0,580,0,27,0,90,0
3ª Vara federal de cachoeiro de itapemirim,17522,13028,0,2,43,0,68,719,1234,0,0,0,16,0,0,0
4ª Vara de Execução Fiscal de Vitória,113,190,29370,0,264,0,350,144,17,0,0,0,509,0,142,1006
35ª Vara Federal do Rio de Janeiro,23275,3060,0,5,4089,0,335,388,324,0,316,0,18,0,27,0
